scene,point,true_x,true_y,pointwise_est_x,pointwise_est_y,pointwise_error,rssi_ymh,rssi_wkx,rssi_whx,dist_ymh,dist_wkx,dist_whx,raw_est_x,raw_est_y,raw_error,smooth_est_x,smooth_est_y,smooth_error
indoor,0,0.0,0.0,1.5498486876931876,0.06390683949233159,1.5511657032303785,-80.662,-75.826,-73.392,6.433700774460476,4.846427642543899,4.014006437563374,1.3964680790977653,0.06827085757082264,1.398135903956571,1.304962373155654,0.055257770564596034,1.3061317761082938
indoor,1,2.0,0.0,0.2556511284868081,0.6551233674022595,1.8633141474442312,-72.607,-63.955,-76.125,2.0982152546407833,1.8747156032372754,5.8769220772325195,0.4774475521010812,0.5797443163672042,1.6291928765382773,0.5984894269429588,0.5704116216293585,1.513142856600298
indoor,2,2.0,1.5,1.804437418890392,1.7987056812983289,0.3570291405055767,-75.984,-71.0,-71.806,3.356279162005012,3.2940546459664497,3.2173201612000395,1.7344580489568202,1.8022409535198547,0.4023209188550969,1.694631628947029,1.7890089256577202,0.4204473821411838
indoor,3,2.0,3.0,2.48241153330235,2.8345842491997257,0.5099835860848297,-74.633,-70.438,-68.5,2.781267620602813,3.1492182743967425,2.028657179034065,2.405965023175719,2.7339145995119387,0.48539575646574606,2.357254858439026,2.677297115508571,0.4814230837188605
indoor,4,3.5,3.0,1.9011864051068093,2.2988624057112204,1.7457946148789512,-73.217,-67.952,-70.871,2.2840245429399624,2.5811945307912723,2.823902375912497,2.1321257974148207,2.474459140841,1.465357645335643,2.2876380200016215,2.579546300639238,1.2832002508773674
indoor,5,3.5,4.2,4.946955199021821,4.66472209711843,1.5197519453932045,-80.262,-77.091,-58.273,6.085502536900954,5.362622044535974,0.4871153628469631,4.642840565871267,4.472329174955625,1.174839452237185,4.475170967099892,4.257679944536847,0.9768753201285784
indoor,6,1.0,3.2,1.1811976670574007,2.8601704830876753,0.3851190661495595,-68.883,-71.0,-71.619,1.2499118272184142,3.2940546459664497,3.134478968091083,1.4352563342344482,2.997211588043953,0.4801783174143384,1.6110978685328827,3.0592690394245943,0.6270931415586594
indoor,7,1.0,1.6,2.9597880335873104,2.344299824064276,2.096366228666673,-74.6,-59.5,-68.082,2.7685298852100715,1.3126101083790653,1.91374995379534,2.7751650961716914,2.3597539532755296,1.9309161525514373,2.6779467427469417,2.372984409515593,1.8474334003826067
indoor,8,3.0,1.3,2.559146750298979,1.4808810910331969,0.47651816005826086,-75.081,-56.6,-71.5,2.9601036582640092,1.040802425758993,3.0828759317558663,2.5699227780974856,1.4656648227882068,0.4608809502559555,2.550131687612054,1.4571776916382655,0.47653575441881835
indoor,9,4.0,1.0,1.6604489121752908,0.07125361607646344,2.5171549690459716,-78.383,-68.107,-74.429,4.685804111079288,2.6134041873584364,4.638761856616026,1.682865629945022,0.07641113547265986,2.494419387266099,1.7084301585436157,0.0795195682643033,2.469529623932617
outdoor,0,9.6,4.2,7.547814021420835,-0.9999999999999999,5.590301180676845,-87.102,-77.731,-84.778,14.598643234724982,3.9705921525480714,7.802201663884742,7.637882712131,-0.9999999999999999,5.55786867885113,7.588911065883989,-0.9999999999999999,5.575345612688407
outdoor,1,7.2,5.4,4.583626581547023,-0.9999999999999999,6.914145635202322,-85.267,-82.033,-82.625,11.147602207911682,6.523044702839087,6.50326052656508,5.964833104685887,2.4460094091220626,3.2018272392924785,5.820987621998427,2.4373755253045424,3.267846219874199
outdoor,2,4.8,6.6,4.357629289758181,5.5552093390480115,1.1345833466486026,-77.655,-82.231,-85.688,3.6416242405646426,6.673799278482414,8.426440262748823,4.148832155954924,5.701977662074084,1.109262674271626,4.019865005220033,5.5622017960425625,1.2983203465314799
outdoor,3,1.2,8.4,1.9374643680028703,8.58611481741612,0.760586891377776,-72.667,-86.565,-90.5,1.749455839784838,11.004540119832779,12.659106431587196,2.403473889623173,7.791077698950566,1.3487534139790218,2.4091286174452873,7.498017729125841,1.508497275601271
outdoor,4,1.2,4.8,3.483311142154882,6.249794508173798,2.704702180983987,-75.934,-83.75,-85.76,2.8277493040605366,7.952395070361377,8.477912266115124,1.966448752724704,5.331747225226347,0.9328444683274775,1.9958607269428998,5.22623094335701,0.9028106743748039
outdoor,5,1.2,1.2,-0.9999999999999999,1.7808131223594992,2.275377745145845,-80.407,-86.75,-65.654,5.457073007712605,11.24198982586464,1.5478769612182068,1.3089405023681866,1.9363715955258725,0.7443864317366028,2.038993504661231,1.9973542314567838,1.157447135417326
outdoor,6,6.0,1.2,5.514569925271126,-0.9999999999999999,2.2529186308988787,-87.414,-83.381,-85.045,15.283680924129483,7.620886311125106,7.980403789919592,5.829854301283006,-0.9999999999999999,2.206569636062251,5.3754568181380105,-0.9999999999999999,2.286931172119156
outdoor,7,7.2,1.2,10.599999995121294,-0.9999999999999999,4.049691342167301,-89.714,-69.5,-88.675,21.430914346095257,1.5358827229874106,10.848393669683642,10.372920554553009,-0.9999999999999999,3.8610134479829217,8.702532968244244,-0.9999999999999999,2.664133127428293
outdoor,8,9.6,1.2,8.670808683066785,1.5163894530002975,0.9815797417601435,-84.1,-66.719,-87.923,9.390526794299106,1.1142637889074223,10.179870800220336,9.183686368505482,1.7998679200934267,0.7301770753217105,8.76380351916421,1.7655718115275698,1.0095028620844702
outdoor,9,9.6,5.4,7.572994980166611,6.523555882213955,2.3175692375606243,-83.328,-83.143,-82.241,8.3832408095119,7.414435538659453,6.295434414290043,7.487373217717171,5.942229066869383,2.181101621240225,7.832428897176509,5.70868794011223,1.7943232283809352
