file,min_db,max_db
1.PNG,-95,-80
2.PNG,-94,-75
3.PNG,-95,-71
4.PNG,-88,-66
5.PNG,-86,-68
6.PNG,-92,-71
7.PNG,-98,-80
8.PNG,-96,-83
9.PNG,-91,-79
10.PNG,-94,-77
