file,point_index,series,x_px,y_px,rssi,rssi_float,area
2.PNG,32,yellow,669.5,1117.5,-88,-88.02,440
2.PNG,33,yellow,677.5,898.5,-77,-77.01,440
2.PNG,34,yellow,697.5,997.5,-82,-81.99,440
2.PNG,35,yellow,709.5,1117.5,-88,-88.02,440
2.PNG,36,yellow,725.5,977.5,-81,-80.98,441
2.PNG,37,yellow,737.5,878.5,-76,-76.01,440
2.PNG,38,yellow,751.5,1017.5,-83,-82.99,440
2.PNG,39,yellow,763.5,918.5,-78,-78.02,440
2.PNG,40,yellow,769.5,1077.5,-86,-86.01,440
2.PNG,41,yellow,791.5,1037.5,-84,-84.0,468
2.PNG,42,yellow,817.6,1117.5,-88,-88.02,358
2.PNG,43,yellow,832.9,1117.5,-88,-88.02,336
2.PNG,44,yellow,839.8,1077.5,-86,-86.01,410
2.PNG,45,yellow,859.2,1077.5,-86,-86.01,410
2.PNG,46,yellow,868.6,977.5,-81,-80.98,358
2.PNG,47,yellow,884.0,977.5,-81,-80.98,337
2.PNG,48,yellow,899.5,898.5,-77,-77.01,441
2.PNG,49,yellow,910.5,1037.5,-84,-84.0,440
2.PNG,50,yellow,924.5,977.5,-81,-80.98,440
2.PNG,51,yellow,930.5,858.5,-75,-75.0,440
2.PNG,52,yellow,953.5,1017.5,-83,-82.99,440
2.PNG,53,yellow,965.5,878.5,-76,-76.01,440
2.PNG,54,yellow,975.5,1057.5,-85,-85.0,440
2.PNG,55,yellow,992.4,1077.4,-86,-86.0,435
2.PNG,56,yellow,1002.5,1097.5,-87,-87.01,439
2.PNG,57,yellow,1015.5,1136.5,-89,-88.97,440
2.PNG,58,yellow,1027.5,1077.5,-86,-86.01,440
2.PNG,59,yellow,1046.5,1156.5,-90,-89.98,441
2.PNG,60,yellow,1057.5,1136.5,-89,-88.97,439
2.PNG,61,yellow,1070.5,1176.5,-91,-90.98,440
3.PNG,1,yellow,257.5,958.5,-80,-80.01,440
3.PNG,2,yellow,265.5,818.5,-73,-72.96,440
3.PNG,3,yellow,281.5,858.5,-75,-74.97,440
3.PNG,4,yellow,294.5,938.5,-79,-79.0,440
3.PNG,5,yellow,307.5,1117.5,-88,-88.01,440
3.PNG,6,yellow,321.5,818.5,-73,-72.96,441
3.PNG,7,yellow,335.5,799.5,-72,-72.01,441
3.PNG,8,yellow,345.5,958.5,-80,-80.01,440
3.PNG,9,yellow,362.5,878.5,-76,-75.98,441
3.PNG,10,yellow,375.5,858.5,-75,-74.98,441
3.PNG,11,yellow,385.5,1156.5,-90,-89.97,440
3.PNG,12,yellow,402.5,878.5,-76,-75.98,440
3.PNG,13,yellow,415.5,779.5,-71,-71.0,441
3.PNG,14,yellow,425.5,938.5,-79,-79.0,440
3.PNG,15,yellow,440.5,858.5,-75,-74.97,440
3.PNG,16,yellow,455.5,799.5,-72,-72.01,440
3.PNG,17,yellow,464.5,918.5,-78,-77.99,440
3.PNG,18,yellow,482.5,977.5,-81,-80.96,440
3.PNG,19,yellow,494.5,878.5,-76,-75.98,440
3.PNG,20,yellow,508.5,779.5,-71,-71.0,440
3.PNG,21,yellow,521.5,938.5,-79,-79.0,440
3.PNG,22,yellow,535.5,1097.5,-87,-87.0,440
3.PNG,23,yellow,546.5,938.5,-79,-79.0,440
3.PNG,24,yellow,559.5,997.5,-82,-81.97,440
3.PNG,25,yellow,575.5,898.5,-77,-76.99,440
3.PNG,26,yellow,584.5,838.5,-74,-73.97,440
3.PNG,27,yellow,598.1,918.5,-78,-77.99,336
3.PNG,28,yellow,611.8,918.5,-78,-77.99,290
3.PNG,29,yellow,628.2,918.5,-78,-77.99,412
3.PNG,30,yellow,639.5,997.5,-82,-81.97,356
3.PNG,31,yellow,656.0,997.5,-82,-81.97,376
3.PNG,32,yellow,668.5,1037.5,-84,-83.98,440
3.PNG,33,yellow,674.5,799.5,-72,-72.01,440
3.PNG,34,yellow,694.5,938.5,-79,-79.0,440
3.PNG,35,yellow,706.5,1057.5,-85,-84.99,440
3.PNG,36,yellow,719.5,997.5,-82,-81.97,440
3.PNG,37,yellow,736.4,938.7,-79,-79.01,431
3.PNG,38,yellow,744.5,918.4,-78,-77.99,436
3.PNG,39,yellow,763.5,1017.5,-83,-82.97,440
3.PNG,40,yellow,773.5,1256.5,-95,-95.0,440
3.PNG,41,yellow,789.5,997.5,-82,-81.97,440
3.PNG,42,yellow,802.5,878.5,-76,-75.98,440
3.PNG,43,yellow,815.1,838.5,-74,-73.97,424
3.PNG,44,yellow,826.5,878.5,-76,-75.98,440
3.PNG,45,yellow,836.6,838.5,-74,-73.97,436
3.PNG,46,yellow,854.6,858.5,-75,-74.97,358
3.PNG,47,yellow,869.9,858.5,-75,-74.98,337
3.PNG,48,yellow,880.5,878.5,-76,-75.98,441
3.PNG,49,yellow,893.6,958.5,-80,-80.01,358
3.PNG,50,yellow,909.4,958.5,-80,-80.01,358
3.PNG,51,yellow,922.5,878.5,-76,-75.98,440
3.PNG,52,yellow,929.5,918.5,-78,-77.99,440
3.PNG,53,yellow,950.5,779.5,-71,-71.0,440
3.PNG,54,yellow,962.5,938.5,-79,-79.0,439
3.PNG,55,yellow,973.5,918.5,-78,-77.99,439
3.PNG,56,yellow,990.5,958.5,-80,-80.01,440
3.PNG,57,yellow,1002.5,918.5,-78,-77.99,440
3.PNG,58,yellow,1013.5,878.5,-76,-75.98,440
3.PNG,59,yellow,1031.0,799.5,-72,-72.01,608
3.PNG,60,yellow,1057.5,1057.5,-85,-84.99,440
