file,min_db,max_db
1.PNG,-98,-87
2.PNG,-97,-93
3.PNG,-99,-90
4.PNG,-94,-84
5.PNG,-94,-81
6.PNG,-94,-82
7.PNG,-95,-79
8.PNG,-96,-73
9.PNG,-90,-75
10.PNG,-96,-75
11.PNG,-68,-45
