file,point_index,series,x_px,y_px,rssi,rssi_float,area
2.PNG,26,yellow,587.4,894.4,-71,-70.98,310
2.PNG,27,yellow,600.5,910.5,-72,-71.99,442
2.PNG,28,yellow,612.5,1037.5,-80,-79.98,440
2.PNG,29,yellow,628.5,1101.5,-84,-84.01,440
2.PNG,30,yellow,641.5,989.5,-77,-76.97,440
2.PNG,31,yellow,656.2,910.9,-72,-72.02,421
2.PNG,32,yellow,667.8,894.1,-71,-70.96,421
2.PNG,33,blue,678.5,846.5,-68,-67.97,448
2.PNG,34,yellow,695.5,1037.5,-80,-79.98,440
2.PNG,35,blue,708.5,878.5,-70,-69.98,448
2.PNG,36,blue,719.5,830.5,-67,-66.96,449
2.PNG,37,yellow,734.3,910.7,-72,-72.01,430
2.PNG,38,yellow,747.7,894.3,-71,-70.98,429
2.PNG,39,blue,760.5,862.5,-69,-68.98,448
2.PNG,40,yellow,771.5,1037.5,-80,-79.98,440
2.PNG,41,yellow,788.5,1005.5,-78,-77.97,440
2.PNG,42,yellow,799.4,942.6,-74,-74.01,436
2.PNG,43,yellow,815.5,926.5,-73,-73.0,442
2.PNG,44,blue,830.5,862.5,-69,-68.98,448
2.PNG,45,blue,841.5,799.5,-65,-65.01,448
2.PNG,46,blue,856.5,878.5,-70,-69.98,448
2.PNG,47,blue,866.5,767.5,-63,-63.0,448
2.PNG,48,blue,882.3,799.3,-65,-65.0,436
2.PNG,49,blue,896.7,814.8,-66,-65.97,436
2.PNG,50,blue,907.5,862.5,-69,-68.98,448
2.PNG,51,blue,923.4,878.8,-70,-70.0,429
2.PNG,52,blue,936.7,862.3,-69,-68.96,435
2.PNG,53,yellow,950.5,910.5,-72,-72.0,440
2.PNG,54,blue,961.5,830.5,-67,-66.96,448
2.PNG,55,yellow,977.5,1053.5,-81,-80.99,440
2.PNG,56,yellow,990.5,910.5,-72,-72.0,440
2.PNG,57,yellow,1004.2,1037.1,-80,-79.96,421
2.PNG,58,yellow,1015.8,1053.9,-81,-81.02,421
2.PNG,59,blue,1028.5,799.5,-65,-65.01,448
2.PNG,60,yellow,1043.5,989.5,-77,-76.97,441
2.PNG,61,blue,1053.3,830.5,-67,-66.96,400
2.PNG,62,blue,1071.7,830.5,-67,-66.96,400
3.PNG,1,yellow,257.5,997.5,-72,-71.98,440
3.PNG,2,yellow,266.5,1057.5,-75,-75.0,440
3.PNG,3,yellow,280.5,1176.5,-81,-81.0,440
3.PNG,4,yellow,291.6,1017.5,-73,-72.99,358
3.PNG,5,yellow,307.5,1017.5,-73,-72.99,359
3.PNG,6,yellow,318.5,997.5,-72,-71.99,441
3.PNG,7,yellow,332.5,1077.5,-76,-76.01,440
3.PNG,8,yellow,346.5,1037.5,-74,-74.0,440
3.PNG,9,yellow,360.5,997.5,-72,-71.98,440
3.PNG,10,yellow,374.5,1077.5,-76,-76.01,440
3.PNG,11,yellow,384.5,1216.5,-83,-83.01,356
3.PNG,12,yellow,401.0,1216.5,-83,-83.01,377
3.PNG,13,yellow,412.9,1136.5,-79,-78.98,377
3.PNG,14,yellow,430.0,1136.5,-79,-78.98,376
3.PNG,15,yellow,441.5,1335.5,-89,-89.0,440
3.PNG,16,blue,455.5,958.5,-70,-70.02,448
3.PNG,17,blue,465.5,918.5,-68,-68.01,448
3.PNG,18,yellow,482.5,1216.5,-83,-83.01,440
3.PNG,19,yellow,495.5,1295.5,-87,-86.99,440
3.PNG,20,blue,509.5,898.5,-67,-67.0,448
3.PNG,21,blue,521.5,938.5,-69,-69.01,447
3.PNG,22,blue,533.5,918.5,-68,-68.01,449
3.PNG,23,blue,549.5,938.5,-69,-69.01,448
3.PNG,24,yellow,562.5,1136.5,-79,-78.98,441
3.PNG,25,yellow,576.5,997.5,-72,-71.98,440
3.PNG,26,yellow,588.5,1097.5,-77,-77.02,440
3.PNG,27,yellow,603.5,1117.5,-78,-78.03,440
3.PNG,28,yellow,616.5,1196.5,-82,-82.0,440
3.PNG,29,blue,627.5,958.5,-70,-70.02,448
3.PNG,30,yellow,641.5,1196.5,-82,-82.0,440
3.PNG,31,blue,655.5,938.5,-69,-69.01,448
3.PNG,32,yellow,667.5,1037.5,-74,-74.0,440
3.PNG,33,yellow,678.5,997.5,-72,-71.98,440
3.PNG,34,yellow,695.5,1057.5,-75,-75.0,440
3.PNG,35,yellow,706.5,997.5,-72,-71.98,440
3.PNG,36,yellow,718.5,1037.5,-74,-74.0,441
3.PNG,37,yellow,735.5,1097.5,-77,-77.02,441
3.PNG,38,yellow,747.5,1017.5,-73,-72.99,440
3.PNG,39,yellow,763.5,1057.5,-75,-75.0,440
3.PNG,40,yellow,777.5,1136.5,-79,-78.98,440
3.PNG,41,blue,789.5,958.5,-70,-70.02,448
3.PNG,42,yellow,803.5,1295.5,-87,-86.99,440
3.PNG,43,yellow,816.5,1077.5,-76,-76.01,440
3.PNG,44,yellow,831.5,1196.5,-82,-82.0,440
3.PNG,45,yellow,842.0,1097.5,-77,-77.02,376
3.PNG,46,yellow,859.0,1097.5,-77,-77.02,376
3.PNG,47,yellow,868.5,1057.5,-75,-75.0,440
3.PNG,48,yellow,882.5,1136.5,-79,-78.98,441
3.PNG,49,yellow,897.5,1017.5,-73,-72.99,441
3.PNG,50,yellow,908.5,1117.5,-78,-78.03,440
3.PNG,51,yellow,925.5,1077.5,-76,-76.01,440
3.PNG,52,yellow,937.5,977.5,-71,-70.98,440
3.PNG,53,yellow,951.5,1176.5,-81,-81.0,440
3.PNG,54,yellow,963.5,1196.5,-82,-82.0,442
3.PNG,55,yellow,979.5,1077.5,-76,-76.01,440
3.PNG,56,yellow,989.5,1236.5,-84,-84.02,440
3.PNG,57,yellow,1006.5,1176.5,-81,-81.0,440
3.PNG,58,yellow,1017.5,1097.5,-77,-77.02,440
3.PNG,59,yellow,1033.5,1017.5,-73,-72.99,441
3.PNG,60,yellow,1046.5,997.5,-72,-71.98,440
3.PNG,61,yellow,1055.5,1017.5,-73,-72.99,355
3.PNG,62,yellow,1072.0,1017.5,-73,-72.99,376
4.PNG,1,blue,257.2,862.1,-69,-68.99,427
4.PNG,2,blue,268.8,878.9,-70,-70.05,427
4.PNG,3,yellow,280.0,926.5,-73,-73.04,376
4.PNG,4,yellow,297.0,926.5,-73,-73.04,376
4.PNG,5,yellow,309.5,958.5,-75,-75.05,440
4.PNG,6,yellow,322.5,926.5,-73,-73.04,440
4.PNG,7,yellow,332.4,894.4,-71,-71.02,436
4.PNG,8,yellow,347.5,910.6,-72,-72.04,432
4.PNG,9,yellow,363.5,894.5,-71,-71.03,442
4.PNG,10,yellow,376.5,1021.5,-79,-79.0,440
4.PNG,11,blue,396.5,862.5,-69,-69.02,764
4.PNG,12,yellow,416.5,989.5,-77,-76.99,441
