scene,device,a,n,rmse,samples,excluded
indoor,ymh,-67.2793295573512,1.655326946711167,2.264012454994253,9,1
indoor,wkx,-56.10015547349797,2.8779134909964172,2.590370082399746,7,7;8;9
indoor,whx,-63.429082547105565,1.6506427314356404,1.4996728699695154,8,4;7
outdoor,ymh,-68.86162949097096,1.5666215541479156,1.63151130259017,8,6;7
outdoor,wkx,-65.7813976457799,1.995407363853832,1.6293787857509372,8,6;7
outdoor,whx,-60.48870588684273,2.722352235876386,2.937773904417097,7,3;4;9
linear,ymh,-74.13621553025136,1.3758651872861947,1.7015239839081795,9,4;10
